Hisse Kodu	Şirket Adı	Sektör(ler)
ETILR	Etiler Gıda ve Ticari Yatırımlar Sanayi ve Ticaret A.Ş.	Toptan ve Perakende Ticaret
GARFA	Garanti Faktoring A.Ş.	Faktoring
GRTHO	Graintürk Holding A.Ş.	Gıda ve İçecek
KLKIM	Kalekim Kimyevi Maddeler Sanayi ve Ticaret A.Ş.	Kimya ve Plastik, İmalat
KAYSE	Kayseri Şeker Fabrikası A.Ş.	Gıda ve İçecek
KENT	Kent Gıda Maddeleri Sanayii ve Ticaret A.Ş.	Gıda ve İçecek
KGYO	Koray Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
KOCMT	Koç Metalurji A.Ş.	Ana Metal
ALKA	Alkim Kağıt Sanayi ve Ticaret A.Ş.	Kağıt ve Kağıt Ürünleri
ANELE	Anel Elektrik Proje Taahhüt ve Ticaret A.Ş.	İnşaat
ASELS	Aselsan Elektronik Sanayi ve Ticaret A.Ş.	Savunma, İmalat
BURCE	Burçelik Bursa Çelik Döküm Sanayii A.Ş.	Ana Metal, İmalat
ETYAT	Euro Trend Yatırım Ortaklığı A.Ş.	Menkul Kıymet Yat. Ort.
AVTUR	Avrasya Petrol ve Turistik Tesisler Yatırımlar A.Ş.	Toptan ve Perakende Ticaret
AYES	Ayes Çelik Hasır ve Çit Sanayi A.Ş.	İmalat
PLTUR	Platform Turizm Taşımacılık Gıda İnşaat Temizlik Hizmetleri Sanayi ve Ticaret A.Ş.	Ulaştırma, Servis Taşımacılığı ve Araç Kiralama
REEDR	Reeder Teknoloji Sanayi ve Ticaret A.Ş.	Bilişim ve Yazılım
EKSUN	Eksun Gıda Tarım Sanayi ve Ticaret A.Ş	Gıda ve İçecek
ICBCT	Icbc Turkey Bank A.Ş.	Bankacılık
MARBL	Tureks Turunç Madencilik İç ve Dış Ticaret A.Ş.	Taş, Toprak, Çimento
KLNMA	Türkiye Kalkınma ve Yatırım Bankası A.Ş.	Bankacılık
CUSAN	Çuhadaroğlu Metal Sanayi ve Pazarlama A.Ş.	Ana Metal, İmalat
MSGYO	Mistral Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
HKTM	Hidropar Hareket Kontrol Teknolojileri Merkezi Sanayi ve Ticaret A.Ş.	İmalat, Metal Eşya ve Makine
KZBGY	Kızılbük Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
EGEPO	Nasmed Özel Sağlık Hizmetleri Ticaret A.Ş.	İlaç ve Sağlık
NATEN	Naturel Yenilenebilir Enerji Ticaret A.Ş.	Enerji Üretim ve Dağıtım
BIENY	Bien Yapı Ürünleri Sanayi Turizm ve Ticaret A.Ş.	Cam, Seramik, Porselen
OFSYM	Ofis Yem Gıda Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
DMRGD	DMR Unlu Mamuller Üretim Gıda Toptan Perakende İhracat A.Ş.	Gıda ve İçecek
MERCN	Mercan Kimya Sanayi ve Ticaret A.Ş.	Kimya ve Plastik
EBEBK	Ebebek Mağazacılık A.Ş.	Toptan ve Perakende Ticaret
MOGAN	Mogan Enerji Yatırım Holding A.Ş	Enerji Üretim ve Dağıtım
ESCOM	Escort Teknoloji Yatırım A.Ş.	Bilişim ve Yazılım
TERA	Tera Yatırım Menkul Değerler A.Ş.	Aracı Kurum
ODAS	Odaş Elektrik Üretim Sanayi Ticaret A.Ş.	Enerji Üretim ve Dağıtım
PASEU	Pasifik Eurasia Lojistik Dış Ticaret A.Ş.	Ulaştırma
ATEKS	Akın Tekstil A.Ş.	Tekstil, Giyim ve Deri
ARZUM	Arzum Elektrikli Ev Aletleri Sanayi ve Ticaret A.Ş.	Dayanıklı Tüketim Ürünleri, İmalat
BJKAS	Beşiktaş Futbol Yatırımları Sanayi ve Ticaret A.Ş.	Spor
BRMEN	Birlik Mensucat Ticaret ve Sanayi İşletmesi A.Ş.	Tekstil, Giyim ve Deri, İmalat
KUYAS	Kuyaş Yatırım A.Ş.	Gayrimenkul
OSTIM	Ostim Endüstriyel Yatırımlar ve İşletme A.Ş.	Holding
PATEK	Pasifik Donanım ve Yazılım Bilgi Teknolojileri A.Ş.	Bilişim ve Yazılım, Savunma
UFUK	Ufuk Yatırım Yönetim ve Gayrimenkul A.Ş.	Holding
ULUUN	Ulusoy Un Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
YUNSA	Yünsa Yünlü Sanayi ve Ticaret A.Ş.	Tekstil, Giyim ve Deri
YBTAS	Yibitaş Yozgat İşçi Birliği İnşaat Malzemeleri Ticaret ve Sanayi A.Ş.	İnşaat
CATES	Çates Elektrik Üretim A.Ş.	Enerji Üretim ve Dağıtım
CEMAS	Çemaş Döküm Sanayi A.Ş.	Ana Metal, İmalat
LRSHO	Loras Holding A.Ş.	Holding
TMPOL	Temapol Polimer Plastik ve İnşaat Sanayi Ticaret A.Ş.	Kimya ve Plastik
TRILC	Türk İlaç ve Serum Sanayi A.Ş.	İlaç ve Sağlık
ULAS	Ulaşlar Turizm Yatırımları ve Dayanıklı Tüketim Malları Ticaret Pazarlama A.Ş.	Turizm
FRIGO	Frigo-Pak Gıda Maddeleri Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
PENGD	Penguen Gıda Sanayi A.Ş.	Gıda ve İçecek
TTRAK	Türk Traktör ve Ziraat Makineleri A.Ş.	Otomotiv
YAPRK	Yaprak Süt ve Besi Çiftlikleri Sanayi ve Ticaret A.Ş.	Tarım, Hayvancılık, Balıkçılık
PENTA	Penta Teknoloji Ürünleri Dağıtım Ticaret A.Ş.	Bilişim ve Yazılım, Toptan ve Perakende Ticaret, Teknolojik Ürün Ticareti
POLTK	Politeknik Metal Sanayi ve Ticaret A.Ş.	Ana Metal, İmalat
ALTNY	Altınay Savunma Teknolojileri A.Ş.	Savunma
ENDAE	Enda Enerji Holding A.Ş.	Enerji Üretim ve Dağıtım
SOKE	Söke Değirmencilik Sanayi ve Ticaret A.Ş.	Gıda ve İçecek
TARKM	Tarkim Bitki Koruma Sanayi ve Ticaret A.Ş.	Kimya ve Plastik
TDGYO	Trend Gayrimenkul Yatırım Ortaklığı A.Ş.	Gayrimenkul
SNPAM	Sönmez Pamuklu Sanayii A.Ş.	Tekstil, Giyim ve Deri
TATGD	Tat Gıda Sanayi A.Ş.	Gıda ve İçecek
ANHYT	Anadolu Hayat Emeklilik A.Ş.	Emeklilik
BULGS	Bulls Girişim Sermayesi Yatırım Ortaklığı A.Ş.	Girişim Sermayesi Yat. Ort.
IMASM	İmaş Makina Sanayi A.Ş.	Metal Eşya ve Makine
IZINV	İZ Yatırım Holding A.Ş	Holding
SKBNK	Şekerbank T.A.Ş.	Bankacılık
SARKY	Sarkuysan Elektrolit Bakır Sanayi ve Ticaret A.Ş.	Madencilik ve Taş Ocakçılığı, Ana Metal
SAYAS	Say Yenilenebilir Enerji Ekipmanları Sanayi ve Ticaret A.Ş	Enerji Teknolojileri
TUREX	Tureks Turizm Taşımacılık A.Ş.	Turizm, Servis Taşımacılığı ve Araç Kiralama
TCELL	Turkcell İletişim Hizmetleri A.Ş.	Haberleşme
THYAO	Türk Hava Yolları A.O.	Ulaştırma
TURGG	Türker Proje Gayrimenkul ve Yatırım Geliştirme A.Ş.	İnşaat
CMBTN	Çimbeton Hazırbeton ve Prefabrik Yapı Elemanları Sanayi ve Ticaret A.Ş.	Taş, Toprak, Çimento, İnşaat
